Movto,Gpo,Clave,NumInv,AnoPrg,TpoBien,Denomin,FecAlta,DescArt,IdProv,NumFact,FecFact,Costo,IdTipAdq,IdRub,Edo,Localiz,OUT,FecBaja
19963,E,C/P,9545,2007,E,COMPRESORA DE AIRE,2007-12-20,"COMPRESORA DE AIRE.- MODELO: TD2525F, COLOR NEGRO, SERIE: 14382",514,7990,20/12/2007,"1,684.75",CD,MA,1. BUENO,S,0,
19964,E,C/P,9547,2007,E,IMPRESORA,2007-12-18,"IMPRESORA.- MARCA: HP, MODELO: DESK JET 920 C, SERIE: BR2451AOGS",999999,,18/12/2007,1,DP,MO,6. BAJA (INSERVIBLE),S,1,04/10/2012
19965,E,C/P,9548,2008,E,MULTIFUNCIONAL,2008-01-30,"MULTIFUNCIONAL.- MARCA: HEWLETT PACKARD, MODELO: 3050 MPF, SERIE: CNRK370680",6,52276,30/01/2008,"6,964.37",CD,MO,1. BUENO,S,0,
19967,E,C/P,9573,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA, MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM0970",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19968,E,C/P,9574,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA, MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM0967",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19969,E,C/P,9575,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA, MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AO0016",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19970,E,C/P,9576,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083404",999999,,27/02/2008,1,DP,MA,6. BAJA (INSERVIBLE),S,0,
19971,E,C/P,9577,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP082412",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19972,E,C/P,9578,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083279",999999,,27/02/2008,1,DP,MA,6. BAJA (INSERVIBLE),S,0,
19973,E,C/P,9549,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM2609",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19974,E,C/P,9550,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM0973",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19975,E,C/P,9551,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM0968",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19976,E,C/P,9552,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM0972",999999,,27/02/2008,1,DP,MA,6. BAJA (INSERVIBLE),S,0,
19977,E,C/P,9553,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM2617",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19978,E,C/P,9554,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM0028",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19979,E,C/P,9555,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM2613",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19980,E,C/P,9556,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AO0014",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19981,E,C/P,9557,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AO0011",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19982,E,C/P,9558,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AO0015",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19983,E,C/P,9559,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM2621",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19984,E,C/P,9560,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: DAEWOO, MODELO: DTQ-2133SM,  SERIE: AT69AM0969",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19985,E,C/P,9579,2008,E,TELEVISOR,2008-02-27,"TELEVISOR.- A COLOR, PANTALLA PLANA DE 21"", MARCA: SAMSUNG, MODELO: CL-21N11MJ,  SERIE: 3CBP101298",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19986,E,C/P,9561,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP082438",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19987,E,C/P,9562,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083280",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19988,E,C/P,9563,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP082436",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19989,E,C/P,9564,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP082446",999999,,27/02/2008,1,DP,MA,6. BAJA (INSERVIBLE),S,0,
19990,E,C/P,9565,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083398",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19991,E,C/P,9567,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083420",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19992,E,C/P,9566,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP082433",999999,,27/02/2008,1,DP,MA,6. BAJA (INSERVIBLE),S,0,
19993,E,C/P,9568,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083397",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19994,E,C/P,9569,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083399",999999,,27/02/2008,1,DP,MA,1. BUENO,S,0,
19995,E,C/P,9570,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083252",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19996,E,C/P,9571,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083390",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19997,E,C/P,9572,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: DAEWOO, MODELO: DM-K503,  SERIE: ZW071DVP083383",999999,,27/02/2008,1,DP,MA,1. BUENO,S,1,20/10/2014
19998,E,C/P,9580,2008,E,REPRODUCTOR DE DVD,2008-02-27,"REPRODUCTOR DE DVD.- MARCA: PHILIPS, SERIE: NW000633278383",999999,,27/02/2008,1,DP,MA,9. BAJA (SINIESTRO),S,1,21/10/2011
19999,E,C/P,9581,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0714532",561,879,22/04/2008,"3,852.50",CD,MA,7. BAJA (ROBO),S,1,21/06/2010
20000,E,C/P,9582,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716523",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20001,E,C/P,9583,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0714524",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20002,E,C/P,9584,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716525",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,0,
20003,E,C/P,9585,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0714523",561,879,22/04/2008,"3,852.50",CD,MA,1. BUENO,S,0,
20004,E,C/P,9586,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716528",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20005,E,C/P,9587,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715099",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20006,E,C/P,9588,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716526",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20007,E,C/P,9589,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716530",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20008,E,C/P,9590,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715100",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,0,
20009,E,C/P,9591,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716532",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,0,
20010,E,C/P,9592,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715093",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20011,E,C/P,9593,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716529",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20012,E,C/P,9594,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715826",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,0,
20013,E,C/P,9595,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715098",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20014,E,C/P,9596,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715101",561,879,22/04/2008,"3,852.50",CD,MA,1. BUENO,S,1,20/03/2013
20015,E,C/P,9597,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716531",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,0,
20016,E,C/P,9598,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0714526",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20017,E,C/P,9599,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0714527",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20018,E,C/P,9600,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715824",561,879,22/04/2008,"3,852.50",CD,MA,1. BUENO,S,1,16/04/2012
20019,E,C/P,9601,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715825",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20020,E,C/P,9602,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0714525",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
20021,E,C/P,9603,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0716524",561,879,22/04/2008,"3,852.50",CD,MA,6. BAJA (INSERVIBLE),S,1,09/01/2012
20022,E,C/P,9604,2008,E,CAMARA FOTOGRAFICA,2008-04-22,"CAMARA FOTOGRAFICA.- MARCA: SONY CYBER-SHOT, MODELO: DSC-S730, 7.2 MEGAPIXELES DE RESOLUCION, CON ZOOM OPTICO DE 3X Y ZOOM DIGITAL DE 6X, PANTALLA LCD DE 2.4"", SERIE: 0715827",561,879,22/04/2008,"3,852.50",CD,MA,1. BUENO,S,0,
20023,I,180000148,113,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02094",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
20024,I,180000148,114,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02095",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
20025,I,180000148,115,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02096",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
20026,I,180000148,116,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02097",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
20027,I,180000148,117,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02098",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
20028,I,180000148,118,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02099",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
20029,I,180000148,119,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02100",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
20030,I,180000148,120,2006,F,NO-BREAK,2006-11-22,"NO-BREAK.- UNIDAD DE ENERGIA ININTERRUMPIBLE MARCA: ISB (SOLA BASIC), MODELO: MICRO SR 1000, CON CAPACIDAD DE 700 WATTS (1000VA), NUMERO DE SERIE: E-06-K-02101",522,5287,22/11/2006,"2,991.84",OF,EP,1. BUENO,S,0,
